Código Município Completo,REGIÃO DE PLANEJAMENTO,regiao_upp,lote,Nome_Município,mun_upp,qtd_cozinhas
2304400,Grande Fortaleza,GRANDE FORTALEZA,Lote 7,Fortaleza,FORTALEZA,36
2304400,Grande Fortaleza,GRANDE FORTALEZA,Lote 8,Fortaleza,FORTALEZA,38
2304400,Grande Fortaleza,GRANDE FORTALEZA,Lote 9,Fortaleza,FORTALEZA,35
2304459,Litoral Leste,LITORAL LESTE,Lote 17,Fortim,FORTIM,2
2304509,Sertão de Sobral,SERTÃO DE SOBRAL,Lote 34,Frecheirinha,FRECHEIRINHA,1
2304608,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Lote 21,General Sampaio,GENERAL SAMPAIO,2
2304657,Sertão de Sobral,SERTÃO DE SOBRAL,Lote 34,Graça,GRAÇA,1
2304707,Litoral Norte,LITORAL NORTE,Lote 18,Granja,GRANJA,5
2304806,Cariri,CARIRI,Lote 22,Granjeiro,GRANJEIRO,3
2304905,Sertão de Sobral,SERTÃO DE SOBRAL,Lote 33,Groaíras,GROAÍRAS,5
2304954,Grande Fortaleza,GRANDE FORTALEZA,Lote 14,Guaiúba,GUAIÚBA,7
2305001,Serra da Ibiapaba,SERRA DA IBIAPABA,Lote 29,Guaraciaba do Norte,GUARACIABA DO NORTE,4
2305100,Maciço de Baturité,MACIÇO DE BATURITÉ,Lote 28,Guaramiranga,GUARAMIRANGA,1
2305209,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Lote 37,Hidrolândia,HIDROLÂNDIA,3
2305233,Grande Fortaleza,GRANDE FORTALEZA,Lote 15,Horizonte,HORIZONTE,10
2305266,Sertão Central,SERTÃO CENTRAL,Lote 30,Ibaretama,IBARETAMA,3
2305308,Serra da Ibiapaba,SERRA DA IBIAPABA,Lote 29,Ibiapina,IBIAPINA,5
2305332,Sertão Central,SERTÃO CENTRAL,Lote 30,Ibicuitinga,IBICUITINGA,3
2305357,Litoral Leste,LITORAL LESTE,Lote 17,Icapuí,ICAPUÍ,2
2305407,Centro Sul,CENTRO SUL,Lote 27,Icó,ICÓ,3
2305506,Centro Sul,CENTRO SUL,Lote 26,Iguatu,IGUATU,12
2305605,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Lote 36,Independência,INDEPENDÊNCIA,3
2305654,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Lote 36,Ipaporanga,IPAPORANGA,2
2305704,Centro Sul,CENTRO SUL,Lote 27,Ipaumirim,IPAUMIRIM,3
2305803,Serra da Ibiapaba,SERRA DA IBIAPABA,Lote 29,Ipu,IPU,4
2305902,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Lote 37,Ipueiras,IPUEIRAS,3
2306009,Vale do Jaguaribe,VALE DO JAGUARIBE,Lote 40,Iracema,IRACEMA,4
2306108,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Lote 21,Irauçuba,IRAUÇUBA,5
2306207,Litoral Leste,LITORAL LESTE,Lote 17,Itaiçaba,ITAIÇABA,2
2306256,Grande Fortaleza,GRANDE FORTALEZA,Lote 14,Itaitinga,ITAITINGA,5
2306306,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Lote 21,Itapajé,ITAPAJÉ,4
2306405,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Lote 20,Itapipoca,ITAPIPOCA,26
2306504,Maciço de Baturité,MACIÇO DE BATURITÉ,Lote 28,Itapiúna,ITAPIÚNA,2
2306553,Litoral Norte,LITORAL NORTE,Lote 19,Itarema,ITAREMA,5
2306603,Sertão de Canindé,SERTÃO DE CANINDÉ,Lote 32,Itatira,ITATIRA,5
2306702,Vale do Jaguaribe,VALE DO JAGUARIBE,Lote 40,Jaguaretama,JAGUARETAMA,3
2306801,Vale do Jaguaribe,VALE DO JAGUARIBE,Lote 40,Jaguaribara,JAGUARIBARA,1
