Código Município Completo,Nº LOTE 2025,REGIÃO DE PLANEJAMENTO,regiao_upp,Nome_Município,mun_upp
2305100,LOTE 28,Maciço de Baturité,MACIÇO DE BATURITÉ,Guaramiranga,GUARAMIRANGA
2305209,LOTE 37,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Hidrolândia,HIDROLÂNDIA
2305233,LOTE 15,Grande Fortaleza,GRANDE FORTALEZA,Horizonte,HORIZONTE
2305266,LOTE 30,Sertão Central,SERTÃO CENTRAL,Ibaretama,IBARETAMA
2305308,LOTE 29,Serra da Ibiapaba,SERRA DA IBIAPABA,Ibiapina,IBIAPINA
2305332,LOTE 30,Sertão Central,SERTÃO CENTRAL,Ibicuitinga,IBICUITINGA
2305357,LOTE 17,Litoral Leste,LITORAL LESTE,Icapuí,ICAPUÍ
2305407,LOTE 27,Centro Sul,CENTRO SUL,Icó,ICÓ
2305506,LOTE 26,Centro Sul,CENTRO SUL,Iguatu,IGUATU
2305605,LOTE 36,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Independência,INDEPENDÊNCIA
2305654,LOTE 36,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Ipaporanga,IPAPORANGA
2305704,LOTE 27,Centro Sul,CENTRO SUL,Ipaumirim,IPAUMIRIM
2305803,LOTE 29,Serra da Ibiapaba,SERRA DA IBIAPABA,Ipu,IPU
2305902,LOTE 37,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Ipueiras,IPUEIRAS
2306009,LOTE 40,Vale do Jaguaribe,VALE DO JAGUARIBE,Iracema,IRACEMA
2306108,LOTE 21,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Irauçuba,IRAUÇUBA
2306207,LOTE 17,Litoral Leste,LITORAL LESTE,Itaiçaba,ITAIÇABA
2306256,LOTE 14,Grande Fortaleza,GRANDE FORTALEZA,Itaitinga,ITAITINGA
2306306,LOTE 21,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Itapajé,ITAPAJÉ
2306405,LOTE 20,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Itapipoca,ITAPIPOCA
2306504,LOTE 28,Maciço de Baturité,MACIÇO DE BATURITÉ,Itapiúna,ITAPIÚNA
2306553,LOTE 19,Litoral Norte,LITORAL NORTE,Itarema,ITAREMA
2306603,LOTE 32,Sertão de Canindé,SERTÃO DE CANINDÉ,Itatira,ITATIRA
2306702,LOTE 40,Vale do Jaguaribe,VALE DO JAGUARIBE,Jaguaretama,JAGUARETAMA
2306801,LOTE 40,Vale do Jaguaribe,VALE DO JAGUARIBE,Jaguaribara,JAGUARIBARA
2306900,LOTE 40,Vale do Jaguaribe,VALE DO JAGUARIBE,Jaguaribe,JAGUARIBE
2307007,LOTE 17,Litoral Leste,LITORAL LESTE,Jaguaruana,JAGUARUANA
2307106,LOTE 23,Cariri,CARIRI,Jardim,JARDIM
2307205,LOTE 24,Cariri,CARIRI,Jati,JATI
2307254,LOTE 19,Litoral Norte,LITORAL NORTE,Jijoca de Jericoacoara,JIJOCA DE JERICOACOARA
2307304,LOTE 22,Cariri,CARIRI,Juazeiro do Norte,JUAZEIRO DO NORTE
2307403,LOTE 27,Centro Sul,CENTRO SUL,Jucás,JUCÁS
2307502,LOTE 24,Cariri,CARIRI,Lavras da Mangabeira,LAVRAS DA MANGABEIRA
2307601,LOTE 39,Vale do Jaguaribe,VALE DO JAGUARIBE,Limoeiro do Norte,LIMOEIRO DO NORTE
2307635,LOTE 32,Sertão de Canindé,SERTÃO DE CANINDÉ,Madalena,MADALENA
2307650,LOTE 13,Grande Fortaleza,GRANDE FORTALEZA,Maracanaú,MARACANAÚ
2307700,LOTE 14,Grande Fortaleza,GRANDE FORTALEZA,Maranguape,MARANGUAPE
2307809,LOTE 19,Litoral Norte,LITORAL NORTE,Marco,MARCO
2307908,LOTE 18,Litoral Norte,LITORAL NORTE,Martinópole,MARTINÓPOLE
2308005,LOTE 35,Sertão de Sobral,SERTÃO DE SOBRAL,Massapê,MASSAPÊ
2308104,LOTE 24,Cariri,CARIRI,Mauriti,MAURITI
2308203,LOTE 35,Sertão de Sobral,SERTÃO DE SOBRAL,Meruoca,MERUOCA
2308302,LOTE 24,Cariri,CARIRI,Milagres,MILAGRES
2308351,LOTE 31,Sertão Central,SERTÃO CENTRAL,Milhã,MILHÃ
2308377,LOTE 20,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Miraíma,MIRAÍMA
2308401,LOTE 23,Cariri,CARIRI,Missão Velha,MISSÃO VELHA
2308500,LOTE 31,Sertão Central,SERTÃO CENTRAL,Mombaça,MOMBAÇA
2308609,LOTE 37,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Monsenhor Tabosa,MONSENHOR TABOSA
2308708,LOTE 39,Vale do Jaguaribe,VALE DO JAGUARIBE,Morada Nova,MORADA NOVA
2308807,LOTE 34,Sertão de Sobral,SERTÃO DE SOBRAL,Moraújo,MORAÚJO
2308906,LOTE 19,Litoral Norte,LITORAL NORTE,Morrinhos,MORRINHOS
2309003,LOTE 34,Sertão de Sobral,SERTÃO DE SOBRAL,Mucambo,MUCAMBO
2309102,LOTE 28,Maciço de Baturité,MACIÇO DE BATURITÉ,Mulungu,MULUNGU
2309201,LOTE 25,Cariri,CARIRI,Nova Olinda,NOVA OLINDA
2309300,LOTE 37,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Nova Russas,NOVA RUSSAS
2309409,LOTE 36,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Novo Oriente,NOVO ORIENTE
2309458,LOTE 28,Maciço de Baturité,MACIÇO DE BATURITÉ,Ocara,OCARA
2309508,LOTE 27,Centro Sul,CENTRO SUL,Orós,ORÓS
2309607,LOTE 15,Grande Fortaleza,GRANDE FORTALEZA,Pacajus,PACAJUS
2309706,LOTE 14,Grande Fortaleza,GRANDE FORTALEZA,Pacatuba,PACATUBA
2309805,LOTE 28,Maciço de Baturité,MACIÇO DE BATURITÉ,Pacoti,PACOTI
2309904,LOTE 34,Sertão de Sobral,SERTÃO DE SOBRAL,Pacujá,PACUJÁ
2310001,LOTE 39,Vale do Jaguaribe,VALE DO JAGUARIBE,Palhano,PALHANO
